인텔 코어i5-5세대 5675C (브로드웰),인텔,소켓1150,14,쿼드,4,3.1,1,4,NA,65,인텔 Iris Pro 6200,1,NA,NA
인텔 코어i5-5세대 5775C (브로드웰),인텔,소켓1150,14,쿼드,4,3.1,1,4,NA,65,인텔 Iris Pro 6200,1,NA,NA
인텔 제온 E5-2620V2 (아이비브릿지-EP),인텔,소켓2011,22,헥사,12,2.1,NA,15,NA,80,NA,NA,NA,NA
인텔 제온 E3-1271V3 (하스웰 리프레시),인텔,소켓1150,22,쿼드,8,3.6,NA,8,NA,80,NA,NA,NA,NA
인텔 제온 E3-1241V3 (하스웰 리프레시),인텔,소켓1150,22,쿼드,8,3.5,NA,8,NA,80,NA,NA,NA,NA
인텔 제온 E5-2690 (샌디브릿지-EP),인텔,소켓2011,32,옥타,16,2.9,NA,20,NA,130,NA,NA,NA,NA
인텔 제온 E5-2609V2 (아이비브릿지-EP),인텔,소켓2011,22,쿼드,4,2.2,NA,10,NA,80,NA,NA,NA,NA
인텔 제온 E5-2630V2 (아이비브릿지-EP),인텔,소켓2011,22,헥사,12,2.6,NA,20,NA,95,NA,NA,NA,NA
인텔 제온 E3-1276V3 (하스웰 리프레시),인텔,소켓1150,22,쿼드,8,3.6,NA,8,NA,84,인텔 HD P4600,1250,하이퍼스레딩,NA
인텔 제온 E5-2630V3 (하스웰-EP),인텔,소켓2011-V3,22,옥타,16,2.4,NA,20,NA,85,NA,NA,NA,NA
인텔 제온 E5-2603V2 (아이비브릿지-EP),인텔,소켓2011,22,쿼드,4,1.8,NA,10,NA,80,NA,NA,NA,NA
인텔 제온 E5-2690V2 (아이비브릿지-EP),인텔,소켓2011,22,10,20,3.0,NA,25,NA,130,NA,NA,NA,NA
인텔 제온 E5-2650V2 (아이비브릿지-EP),인텔,소켓2011,22,옥타,16,2.6,NA,20,NA,95,NA,NA,NA,NA
인텔 제온 E3-1226V3 (하스웰 리프레시),인텔,소켓1150,22,쿼드,4,3.3,NA,8,NA,84,인텔 HD P4600,1200,NA,NA
AMD A4 5300 (트리니티),AMD,소켓FM2,32,듀얼,2,3.4,NA,1,NA,65,AMD HD 7480D,723,NA,NA
AMD A6 6400K (리치랜드),AMD,소켓FM2,32,듀얼,2,3.9,NA,1,NA,65,AMD HD 8470D,800,NA,NA
AMD A4 6300 (리치랜드),AMD,소켓FM2,32,듀얼,2,3.7,NA,1,NA,65,NA,760,NA,NA
AMD A8 7650K (카베리),AMD,소켓FM2+,28,쿼드,4,3.3,4,NA,NA,95,AMD R7 시리즈,720,NA,NA
AMD 애슬론-X4 760K (리치랜드),AMD,소켓FM2,32,쿼드,4,3.8,NA,4,NA,100,NA,NA,NA,NA
AMD 애슬론-X4 740 (리치랜드),AMD,소켓FM2,32,쿼드,4,3.2,NA,4,NA,65,NA,NA,NA,NA
인텔 제온 E5-2670V2 (아이비브릿지-EP),인텔,소켓2011,22,10,20,2.5,NA,25,NA,115,NA,NA,NA,NA
인텔 제온 E3-1245V2 (아이비브릿지),인텔,소켓1155,22,쿼드,8,3.3,NA,8,NA,95,인텔 HD P4000,850,하이퍼스레딩,NA
인텔 제온 E3-1270V2 (아이비브릿지),인텔,소켓1155,22,쿼드,8,NA,NA,NA,NA,NA,NA,NA,256KB x4 / 8MB / 64(32)비트 / 77W / 하이퍼스레딩,NA
인텔 제온 E3-1275V2 (아이비브릿지),인텔,소켓1155,22,쿼드,8,NA,NA,NA,NA,NA,NA,NA,256KB x4 / 8MB / 64(32)비트 / 77W / 인텔 HD P4000 / 650MHz / 하이퍼스레딩,NA
인텔 제온 E5-2660V2 (아이비브릿지-EP),인텔,소켓2011,22,10,20,2.2,NA,25,NA,95,NA,NA,NA,NA
인텔 제온 E3-1225V3 (하스웰),인텔,소켓1150,22,쿼드,4,3.2,NA,NA,NA,84,NA,1200,NA,NA
인텔 제온 E5-2697V2 (아이비브릿지-EP),인텔,소켓2011,22,12,24,2.7,NA,30,NA,130,NA,NA,NA,NA
인텔 제온 E3-1230V2 (아이비브릿지),인텔,소켓1155,22,쿼드,8,3.3,NA,8,NA,69,NA,NA,NA,NA
인텔 코어X-시리즈 i7-4930K (아이비브릿지-E),인텔,소켓2011,22,헥사,12,3.4,NA,12,NA,130,NA,NA,NA,NA
인텔 코어X-시리즈 i7-5960X (하스웰-E),인텔,소켓2011-V3,22,옥타,16,3.0,2,20,NA,140,NA,NA,NA,NA
AMD A4 4020 (리치랜드),AMD,소켓FM2,32,듀얼,2,3.2,NA,1,NA,65,AMD HD 7480D,723,NA,NA
인텔 제온 E5-2407 (샌디브릿지-EN),인텔,소켓1356,32,쿼드,4,2.2,NA,10,NA,80,NA,NA,NA,NA
AMD FX 9370 (비쉐라),AMD,소켓AM3+,32,옥타,8,4.4,NA,8,NA,220,NA,NA,NA,NA
AMD FX 9590 (비쉐라),AMD,소켓AM3+,32,옥타,8,4.7,NA,8,NA,220,NA,NA,NA,NA
AMD FX 8320E (비쉐라),AMD,소켓AM3+,32,옥타,8,3.2,NA,8,NA,95,NA,NA,NA,NA
AMD FX 6350 (비쉐라),AMD,소켓AM3+,32,헥사,6,3.9,NA,8,NA,125,NA,NA,NA,NA
AMD FX 8370 (비쉐라),AMD,소켓AM3+,32,옥타,8,4.0,NA,8,NA,125,NA,NA,NA,NA
AMD FX 8370E (비쉐라),AMD,소켓AM3+,32,옥타,8,3.3,NA,8,NA,95,NA,NA,NA,NA
인텔 제온 E3-1275V3 (하스웰),인텔,소켓1150,22,쿼드,8,3.5,NA,NA,NA,84,NA,1250,NA,NA
인텔 제온 E3-1245V3 (하스웰),인텔,소켓1150,22,쿼드,8,3.4,NA,NA,NA,84,NA,1200,NA,NA
인텔 제온 E3-1230V3 (하스웰),인텔,소켓1150,22,쿼드,8,3.3,NA,8,NA,80,NA,NA,NA,NA
인텔 제온 E3-1240V3 (하스웰),인텔,소켓1150,22,쿼드,8,3.4,NA,NA,NA,80,NA,NA,NA,NA
인텔 펜티엄 G3440 (하스웰 리프레시),인텔,소켓1150,22,듀얼,2,3.3,512,3,NA,54,인텔 HD,1,NA,NA
인텔 코어i7-4세대 4790 (하스웰 리프레시),인텔,소켓1150,22,쿼드,8,3.6,1,8,NA,84,인텔 HD 4600,1,하이퍼스레딩,NA
인텔 코어i5-4세대 4690 (하스웰 리프레시),인텔,소켓1150,22,쿼드,4,3.5,1,6,NA,84,인텔 HD 4600,1,NA,NA
AMD A10 7800 (카베리),AMD,소켓FM2+,28,쿼드,4,3.5,NA,4,NA,65,AMD R7 시리즈,720,NA,NA
AMD A8 7600 (카베리),AMD,소켓FM2+,28,쿼드,4,3.1,NA,4,NA,65,AMD R7 시리즈,720,NA,NA
AMD A6 7400K (카베리),AMD,소켓FM2+,28,듀얼,2,3.5,NA,1,NA,65,AMD R5 시리즈,756,NA,NA
AMD 셈프론 2650 (카비니),AMD,소켓AM1,28,듀얼,2,1.45,NA,1,NA,25,AMD R3 시리즈,400,NA,NA
AMD 애슬론 5350 (카비니),AMD,소켓AM1,28,쿼드,4,2.05,NA,2,NA,25,AMD R3 시리즈,600,NA,NA
AMD 애슬론 5150 (카비니),AMD,소켓AM1,28,쿼드,4,1.6,NA,2,NA,25,AMD R3 시리즈,600,NA,NA
