GIGABYTE AORUS Xtreme 지포스 RTX 2080 Ti D6 11GB,GIGABYTE,RTX2080Ti,12,NA,1770,4352,3.0x16,6,14140,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 750W / 전원부: 16+3페이즈 / 3개 팬 / 290mm / 백플레이트 / LED 라이트 / RGB FUSION,1738500
GIGABYTE 지포스 RTX 2080 Ti Gaming D6 11GB,GIGABYTE,RTX2080Ti,12,1650,1665,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 정격파워 650W / 전원부: 13+3페이즈 / 3개 팬 / 287mm / 백플레이트 / LED 라이트 / RGB FUSION,1608600
ZOTAC GAMING AMP EXTREME CORE 지포스 RTX 2080 Ti D6 11GB,ZOTAC,RTX2080Ti,12,NA,1755,4352,3.0x16,6,14400,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 300W / 정격파워 650W 이상 / 전원부: 16+4페이즈 / 3개 팬 / 324mm / 백플레이트 / LED 라이트,1900000
ASUS DUAL 지포스 GTX1060 O3G D5 3GB,ASUS,GTX1060,16,1569,1785,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 2개 팬 / 242mm,225300
이엠텍 HV 지포스 RTX 2070 BLACK MONSTER OC D6 8GB,이엠텍,RTX2070,12,1410,1725,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 220W / 정격파워 550W 이상 / 전원부: 10페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트,698900
이엠텍 HV 지포스 GTX1060 WHITE MONSTER OC D5 3GB,이엠텍,GTX1060,16,1594,1809,1152,3.0x16,5,8000,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 248mm / 백플레이트 / LED 라이트,256900
MSI 지포스 GTX1060 아머 VR OC D5 3GB,MSI,GTX1060,16,1544,1759,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 275mm,229700
이엠텍 XENON 지포스 RTX 2080 TURBO JET OC D6 8GB,이엠텍,RTX2080,12,1515,1815,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 300W / 정격파워 700W 이상 / 전원부: 10+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트,955000
갤럭시 GALAX 지포스 RTX 2080 Hall Of Fame D6 8GB,갤럭시,RTX2080,12,2944,NA,NA,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 3개 팬 / LED 라이트,1059700
이엠텍 XENON 지포스 RTX 2070 TURBO JET D6 8GB,이엠텍,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 210W / 정격파워 550W 이상 / 전원부: 8+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,668900
HIS 라데온 RX 580 IceQ X2 OC D5 8GB (벌크),HIS,RX580,14,NA,1360,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 정격파워 500W 이상 / 전원부: 6+1페이즈 / 2개 팬 / 250mm,223400
MSI 라데온 RX 580 아머 OC D5 8GB,MSI,RX580,14,1366,NA,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 185W / 정격파워 500W 이상 / 2개 팬 / 269mm,238100
갤럭시 GALAX 지포스 RTX 2080 Ti BLACK LABEL D6 11GB,갤럭시,RTX2080Ti,12,1350,1545,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 250W / 정격파워 650W 이상 / 전원부: 13+3페이즈 / 2개 팬 / 268mm / 백플레이트 / LED 라이트,1477900
GIGABYTE 지포스 GTX1070 G1.Gaming D5 8GB,GIGABYTE,GTX1070,16,1594,1784,1920,3.0x16,5,8008,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 정격파워 500W 이상 / 전원부: 8페이즈 / 3개 팬 / 286mm / LED 라이트 / RGB FUSION,537200
갤럭시 BOY 지포스 RTX 2080 EXOC D6 8GB,갤럭시,RTX2080,12,1515,1845,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 245W / 정격파워 650W 이상 / 전원부: 10페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트,979500
HIS 라데온 RX 590 IceQ X2 OC D5 8GB,HIS,RX590,12,1469,1545,2304,3.0x16,5,8000,8,256,DVI / HDMI / DP / 최대 모니터 5개 / 최대 210W / 정격파워 500W 이상 / 전원부: 6+1페이즈 / 2개 팬 / 290mm / 백플레이트,288500
COLORFUL iGAME 지포스 RTX 2080 Ti Advanced OC D6 11GB,COLORFUL,RTX2080Ti,12,1350,1635,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 260W / 전원부: 10페이즈 / 3개 팬 / 320mm / 백플레이트 / LED 라이트,1494700
COLORFUL 지포스 GTX1050 Ti 토마호크 OC D5 4GB,COLORFUL,GTX1050Ti,14,1366,1468,768,NA,NA,7000,4,128,DVI / HDMI / DP / 최대 75W / 전원부: 4페이즈 / 2개 팬 / 240mm,161500
ZOTAC 지포스 GTX1050 MINi D5 2GB,ZOTAC,GTX1050,14,1354,1455,640,3.0x16,5,7000,2,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 300W 이상 / 전원부: 4페이즈 / 1개 팬 / 144.78mm,132900
이엠텍 HV 지포스 GTX1050 MINI MONSTER D5 2GB,이엠텍,GTX1050,14,1354,1455,640,NA,NA,7000,2,128,DVI / HDMI / DP / 최대 모니터 3개 / 최대 75W / 정격파워 300W 이상 / 전원부: 3페이즈 / 1개 팬 / 166mm,130100
갤럭시 GALAX 지포스 RTX 2070 BLACK LABEL EXOC D6 8GB,갤럭시,RTX2070,12,1410,1815,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 215W / 정격파워 550W 이상 / 전원부: 8페이즈 / 2개 팬 / 285mm / 백플레이트 / LED 라이트,653800
갤럭시 GALAX 지포스 GTX1060 OC D5X 6GB,갤럭시,GTX1060,16,1518,1733,1280,3.0x16,5,8008,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4+1페이즈 / 2개 팬 / 214mm,302300
